Date,Athlete,Club,Bow Type,Age Class,Gender,Distance,Face,Result,Competition
2025-09-06,Eva-Maria Vinkel,TLVK,Recurve,Adult,Women,60m,122cm,234,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Vaido Valli,SAG,Barebow,Adult,Men,60m,122cm,233,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Aire Lauren,LVL,Barebow,Adult,Women,30m,122cm,232,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Liis Kirsch,PVM,Recurve,Adult,Women,60m,122cm,230,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Raoul Johanson,PVM,Recurve,+60,Men,60m,122cm,229,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Paul Villemi,SAG,Barebow,Adult,Men,60m,122cm,228,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Marten Mäger,PVM,Recurve,Adult,Men,70m,122cm,225,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Terje Paomets,KSK,Barebow,Adult,Women,30m,122cm,225,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Kersti Baumann,SVK,Barebow,+60,Women,50m,122cm,224,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Pilleriin Järve,KSK,Longbow,+50,Women,30m,80cm,224,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Viktor Palmet,KSK,Recurve,+70,Men,30m,80cm,223,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Paul Villemi,SAG,Barebow,Adult,Men,70m,122cm,223,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Vaido Valli,SAG,Barebow,Adult,Men,70m,122cm,219,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Kalju Baumann,SVK,Barebow,+70,Men,30m,122cm,219,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Leho Sillat,SVK,Longbow,Adult,Men,30m,80cm,218,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Andres Sarapuu,VVVK,Recurve,Adult,Men,70m,122cm,217,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Argo Sepp,TVSK,Barebow,Adult,Men,70m,122cm,217,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Enn Salu,VVK,Longbow,+60,Men,30m,80cm,215,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Aire Lauren,LVL,Barebow,Adult,Women,50m,122cm,214,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Terje Paomets,KSK,Barebow,Adult,Women,50m,122cm,213,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Raoul Johanson,PVM,Recurve,+60,Men,50m,80cm,211,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Priidu Paomets,KSK,Barebow,Adult,Men,70m,122cm,211,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Triinu Rõigas,VVVK,Recurve,Adult,Women,60m,122cm,210,Eesti Meistrivõistlused 2025 harjutuses 1440
